rank,name,rating,votes,year,country,genre
161,阳光姐妹淘,8.8,619332,2011,['韩国'],"['剧情', '喜剧']"
162,你的名字。,8.5,1531962,2016,['日本'],"['剧情', '爱情', '动画']"
163,恐怖直播,8.7,702643,2013,['韩国'],"['剧情', '犯罪', '悬疑']"
164,黑客帝国3：矩阵革命,8.8,478842,2003,['美国'],"['动作', '科幻']"
165,电锯惊魂,8.7,583918,2004,['美国'],"['悬疑', '惊悚', '恐怖']"
166,背靠背，脸对脸,9.5,163116,1994,"['中国大陆', '中国香港']",['剧情']
167,三块广告牌,8.7,884593,2017,"['英国', '美国']","['剧情', '犯罪']"
168,达拉斯买家俱乐部,8.8,487148,2013,['美国'],"['剧情', '传记', '同性']"
169,小丑,8.7,1091194,2019,"['美国', '加拿大']","['剧情', '犯罪', '惊悚']"
170,谍影重重3,8.9,450638,2007,"['美国', '德国', '法国', '英国']","['动作', '悬疑', '惊悚']"
171,疯狂原始人,8.7,892134,2013,['美国'],"['喜剧', '动画', '冒险']"
172,心灵奇旅,8.7,1081890,2020,['美国'],"['动画', '奇幻', '音乐']"
173,绿里奇迹,8.9,368780,1999,['美国'],"['犯罪', '剧情', '奇幻', '悬疑']"
174,爱在午夜降临前,8.9,447438,2013,"['美国', '希腊']","['剧情', '爱情']"
175,上帝之城,9.0,322005,2002,"['巴西', '法国']","['犯罪', '剧情']"
176,海街日记,8.8,495652,2015,['日本'],"['剧情', '家庭']"
177,英雄本色,8.6,584098,1986,['中国香港'],"['剧情', '动作', '犯罪']"
178,无间道2,8.8,536754,2003,['中国香港'],"['剧情', '犯罪', '惊悚']"
179,风之谷,8.9,379560,1984,['日本'],"['动画', '奇幻', '冒险']"
180,疯狂的石头,8.6,889715,2006,"['中国大陆', '中国香港']","['喜剧', '犯罪']"
181,心迷宫,8.7,584260,2014,['中国大陆'],"['剧情', '犯罪', '悬疑']"
182,2001太空漫游,8.9,371273,1968,"['英国', '美国']","['科幻', '惊悚', '冒险']"
183,雨中曲,9.1,252724,1952,['美国'],"['喜剧', '歌舞', '爱情']"
184,纵横四海,8.8,458227,1991,['中国香港'],"['剧情', '喜剧', '动作', '犯罪']"
185,记忆碎片,8.7,645673,2000,['美国'],"['犯罪', '剧情', '悬疑', '惊悚']"
186,卢旺达饭店,8.9,354610,2004,"['英国', '南非', '意大利', '美国']","['剧情', '传记', '历史', '战争']"
187,无敌破坏王,8.7,587476,2012,['美国'],"['喜剧', '动画', '奇幻', '冒险']"
188,小偷家族,8.7,869536,2018,['日本'],"['剧情', '犯罪', '家庭']"
189,末路狂花,9.0,310594,1991,"['美国', '英国', '法国']","['犯罪', '剧情', '惊悚']"
190,冰川时代,8.6,661796,2002,['美国'],"['喜剧', '动画', '冒险']"
191,牯岭街少年杀人事件,8.9,342983,1991,['中国台湾'],"['剧情', '犯罪']"
192,岁月神偷,8.7,600026,2010,"['中国香港', '中国大陆']","['剧情', '家庭']"
193,恐怖游轮,8.5,945504,2009,"['英国', '澳大利亚']","['剧情', '悬疑', '惊悚']"
194,东京教父,9.0,270033,2003,['日本'],"['剧情', '喜剧', '动画']"
195,忠犬八公物语,9.2,210649,1987,['日本'],['剧情']
196,魔女宅急便,8.7,501208,1989,['日本'],"['动画', '奇幻', '冒险']"
197,高山下的花环,9.5,133585,1985,['中国大陆'],"['剧情', '战争']"
198,荒蛮故事,8.8,476702,2014,"['阿根廷', '西班牙']","['剧情', '喜剧', '犯罪']"
199,遗愿清单,8.7,510394,2007,['美国'],"['冒险', '喜剧', '剧情']"
200,大佛普拉斯,8.7,522764,2017,['中国台湾'],"['剧情', '喜剧']"
