rank,name,rating,votes,year,country,genre
116,请以你的名字呼唤我,8.8,784180,2017,"['意大利', '法国', '巴西', '美国']","['剧情', '爱情', '同性']"
117,勇敢的心,8.9,586700,1995,['美国'],"['动作', '传记', '剧情', '历史', '战争']"
118,菊次郎的夏天,8.9,644791,1999,['日本'],"['剧情', '喜剧']"
119,未麻的部屋,9.1,392486,1997,['日本'],"['剧情', '犯罪', '动画', '悬疑', '惊悚']"
120,借东西的小人阿莉埃蒂,8.9,598113,2010,['日本'],"['动画', '奇幻', '冒险']"
121,哈利·波特与火焰杯,8.8,750270,2005,"['英国', '美国']","['悬疑', '奇幻', '冒险']"
122,消失的爱人,8.7,1028576,2014,['美国'],"['剧情', '犯罪', '悬疑', '惊悚']"
123,无人知晓,9.1,354017,2004,['日本'],['剧情']
124,时空恋旅人,8.8,743100,2013,"['英国', '美国']","['喜剧', '爱情', '奇幻']"
125,茶馆,9.6,183327,1982,['中国大陆'],"['剧情', '历史']"
126,倩女幽魂,8.8,786272,1987,['中国香港'],"['爱情', '奇幻', '武侠', '古装']"
127,完美的世界,9.1,343163,1993,['美国'],"['剧情', '犯罪']"
128,阳光灿烂的日子,8.8,661719,1994,"['中国大陆', '中国香港']","['剧情', '爱情']"
129,小森林 夏秋篇,9.0,454164,2014,['日本'],['剧情']
130,天使爱美丽,8.7,994504,2001,"['法国', '德国']","['剧情', '喜剧', '爱情']"
131,头脑特工队,8.8,733637,2015,['美国'],"['喜剧', '动画', '冒险']"
132,驯龙高手,8.8,813276,2010,['美国'],"['动画', '奇幻', '冒险']"
133,新世界,8.9,494591,2013,['韩国'],"['剧情', '犯罪']"
134,侧耳倾听,8.9,499036,1995,['日本'],"['剧情', '爱情', '动画']"
135,怪兽电力公司,8.8,731349,2001,['美国'],"['儿童', '喜剧', '动画', '奇幻', '冒险']"
136,教父3,9.0,408300,1990,['美国'],"['剧情', '犯罪']"
137,傲慢与偏见,8.7,871868,2005,"['法国', '英国', '美国']","['剧情', '爱情']"
138,玩具总动员3,8.9,561576,2010,['美国'],"['喜剧', '动画', '奇幻', '冒险']"
139,一个叫欧维的男人决定去死,8.9,530480,2015,['瑞典'],['剧情']
140,幸福终点站,8.8,613507,2004,['美国'],"['喜剧', '剧情', '爱情']"
141,小森林 冬春篇,9.0,404102,2015,['日本'],['剧情']
142,色，戒,8.7,902672,2007,"['中国台湾', '中国大陆', '美国', '中国香港']","['剧情', '爱情', '情色']"
143,被解救的姜戈,8.8,657590,2012,['美国'],"['剧情', '动作', '西部', '冒险']"
144,釜山行,8.6,1289539,2016,['韩国'],"['动作', '惊悚', '灾难']"
145,神偷奶爸,8.7,1007915,2010,"['美国', '法国']","['喜剧', '动画', '冒险']"
146,九品芝麻官,8.8,748511,1994,"['中国香港', '中国大陆']","['剧情', '喜剧', '古装']"
147,萤火之森,8.8,582262,2011,['日本'],"['剧情', '爱情', '动画', '奇幻']"
148,哪吒闹海,9.2,282599,1979,['中国大陆'],"['冒险', '动画', '奇幻']"
149,告白,8.8,713469,2010,['日本'],"['剧情', '悬疑']"
150,喜宴,9.0,402066,1993,"['中国台湾', '美国']","['剧情', '喜剧', '爱情', '同性', '家庭']"
151,玛丽和马克思,9.0,443070,2009,"['澳大利亚', '美国']","['剧情', '喜剧', '动画']"
152,模仿游戏,8.8,694467,2014,"['英国', '美国']","['剧情', '传记', '战争', '同性']"
153,花样年华,8.8,668307,2000,['中国香港'],"['剧情', '爱情']"
154,头号玩家,8.6,1453616,2018,['美国'],"['动作', '科幻', '冒险']"
155,大鱼,8.8,603454,2003,['美国'],"['剧情', '爱情', '奇幻', '冒险']"
156,七武士,9.3,218337,1954,['日本'],"['动作', '冒险', '剧情']"
157,射雕英雄传之东成西就,8.7,686244,1993,['中国香港'],"['喜剧', '奇幻', '武侠', '古装']"
158,惊魂记,9.0,331930,1960,['美国'],"['悬疑', '惊悚', '恐怖']"
159,血战钢锯岭,8.7,827765,2016,"['澳大利亚', '美国']","['剧情', '传记', '历史', '战争']"
160,我是山姆,9.0,361361,2001,['美国'],"['剧情', '家庭']"
161,阳光姐妹淘,8.8,617467,2011,['韩国'],"['剧情', '喜剧']"
162,你的名字。,8.5,1524044,2016,['日本'],"['剧情', '爱情', '动画']"
163,恐怖直播,8.7,699990,2013,['韩国'],"['剧情', '犯罪', '悬疑']"
164,黑客帝国3：矩阵革命,8.8,476814,2003,['美国'],"['动作', '科幻']"
165,三块广告牌,8.7,880872,2017,"['英国', '美国']","['剧情', '犯罪']"
166,心迷宫,8.7,580220,2014,['中国大陆'],"['剧情', '犯罪', '悬疑']"
167,电锯惊魂,8.7,580869,2004,['美国'],"['悬疑', '惊悚', '恐怖']"
168,小丑,8.7,1086501,2019,"['美国', '加拿大']","['剧情', '犯罪', '惊悚']"
169,心灵奇旅,8.7,1074263,2020,['美国'],"['动画', '奇幻', '音乐']"
170,背靠背，脸对脸,9.5,161352,1994,"['中国大陆', '中国香港']",['剧情']
171,达拉斯买家俱乐部,8.8,485333,2013,['美国'],"['剧情', '传记', '同性']"
172,疯狂原始人,8.7,888493,2013,['美国'],"['喜剧', '动画', '冒险']"
173,谍影重重3,8.8,448509,2007,"['美国', '德国', '法国', '英国']","['动作', '悬疑', '惊悚']"
174,绿里奇迹,8.9,366374,1999,['美国'],"['犯罪', '剧情', '奇幻', '悬疑']"
175,海街日记,8.8,492932,2015,['日本'],"['剧情', '家庭']"
176,爱在午夜降临前,8.9,444792,2013,"['美国', '希腊']","['剧情', '爱情']"
177,上帝之城,9.0,320910,2002,"['巴西', '法国']","['犯罪', '剧情']"
178,英雄本色,8.6,581101,1986,['中国香港'],"['剧情', '动作', '犯罪']"
179,风之谷,8.9,378239,1984,['日本'],"['动画', '奇幻', '冒险']"
180,无间道2,8.8,533091,2003,['中国香港'],"['剧情', '犯罪', '惊悚']"
181,疯狂的石头,8.6,885203,2006,"['中国大陆', '中国香港']","['喜剧', '犯罪']"
182,2001太空漫游,8.9,368941,1968,"['英国', '美国']","['科幻', '惊悚', '冒险']"
183,雨中曲,9.1,251052,1952,['美国'],"['喜剧', '歌舞', '爱情']"
184,纵横四海,8.8,456167,1991,['中国香港'],"['剧情', '喜剧', '动作', '犯罪']"
185,卢旺达饭店,8.9,353182,2004,"['英国', '南非', '意大利', '美国']","['剧情', '传记', '历史', '战争']"
186,记忆碎片,8.7,643173,2000,['美国'],"['犯罪', '剧情', '悬疑', '惊悚']"
187,小偷家族,8.7,866197,2018,['日本'],"['剧情', '犯罪', '家庭']"
188,无敌破坏王,8.7,584288,2012,['美国'],"['喜剧', '动画', '奇幻', '冒险']"
189,机器人之梦,9.0,286040,2023,"['西班牙', '法国']","['剧情', '动画', '音乐']"
